epoch,variance
0,3.194529199390672e-05
50,1.2867745624589588e-07
100,8.422409791819518e-08
150,9.814425538934302e-08
200,0.0007984193507581949
250,0.0007974833715707064
300,0.0007978720823302865
350,nan
400,nan
450,nan
499,nan
