epoch,variance
0,2.1271087113916565e-09
50,1.543389949176799e-08
100,1.5651476559241928e-08
150,4.7536186792429547e-11
200,4.3847616509884446e-11
250,4.146356522016781e-11
300,4.013266108326974e-11
350,3.811980592294262e-11
400,3.6480901632884866e-11
450,3.532611703160882e-11
499,3.4340662258269816e-11
