epoch,variance
0,2.1271087113916565e-09
50,1.309508679270266e-08
100,1.687000228400848e-08
150,4.861233984798652e-11
200,4.4696964879298307e-11
250,4.243913206969374e-11
300,4.124870237043332e-11
350,3.968067541215703e-11
400,3.838209611251031e-11
450,3.692749578343424e-11
499,3.618932237214878e-11
