epoch,variance
0,2.1271087113916565e-09
50,1.3208478755188935e-08
100,2.4816902310931255e-08
150,4.8957182058328996e-11
200,4.449884558055395e-11
250,4.276657153412522e-11
300,4.161159264381986e-11
350,3.96889743292661e-11
400,3.836259088174643e-11
450,3.711641757830897e-11
499,3.588592964454129e-11
