epoch,variance
0,4.5318494812818244e-05
50,1.1987324910478492e-07
100,7.896618825498081e-08
150,8.77027872547842e-08
200,3.350758561282419e-05
250,3.285990169388242e-05
300,3.245690822950564e-05
350,nan
400,nan
450,nan
499,nan
