epoch,variance
0,1.1080527606566193e-08
50,7.59534515282212e-08
100,5.076092435274404e-08
150,3.1948688139493697e-10
200,3.244276514102751e-10
250,3.1625879692853687e-10
300,3.2752817125114575e-10
350,3.3825822698396735e-10
400,3.414890314967778e-10
450,3.5328087677477527e-10
499,4.065774383832377e-10
