epoch,variance
0,1.1003344901894252e-08
50,9.205236572995545e-09
100,2.2307935498844245e-09
150,2.1481345868767932e-10
200,2.0309232073856265e-10
250,1.940448357551361e-10
300,1.8514934030378072e-10
350,1.7810207475488227e-10
400,1.7328467827315563e-10
450,1.6936911595433202e-10
499,1.659240106421933e-10
