epoch,variance
0,1.1003344901894252e-08
50,1.6197555297026156e-08
100,2.6149049592305573e-09
150,2.485294470222499e-10
200,2.2956384015948572e-10
250,2.177944768977369e-10
300,2.0683274537525165e-10
350,1.9864311584516514e-10
400,1.9073642665290436e-10
450,1.84039519735002e-10
499,1.7780175942672116e-10
